1285,charles  eddie
1286,das efx
1287,tag team
1288,silk
1289,swv
1290,shai
1291,wreckxneffect
1292,snow
1293,dr dre
1294,htown
1295,duice
1296,robin s
1297,peabo bryson and regina belle
1298,vanessa williams and brian mcknight
1299,soul asylum
1300,paperboy
1301,the proclaimers
1302,spin doctors
1303,tony toni tone
1304,onyx
1305,95 south
1306,toni braxton
1307,4 non blondes
1308,ace of base
1309,dr dre featuring snoop doggy dogg
1310,brian mcknight
1311,xscape
1312,2pac
1313,portrait
1314,positive k
1315,zhane
1316,cypress hill
1317,jeremy jordan
1318,inner circle
1319,boy krazy
1320,restless heart
1321,ice cube
1322,captain hollywood project
1323,digable planets
1324,haddaway
1325,ice cube featuring das efx
1326,joey lawrence
1327,"green jell""y"
1328,gin blossoms
1329,all4one
1330,lisa loeb and nine stories
1331,bryan adams rod stewart and sting
1332,r kelly
1333,saltnpepa and en vogue
1334,john mellencamp featuring meshell ndegeocello
1335,coolio
1336,big mountain
1337,warren g featuring nate dogg
1338,aaliyah
1339,collective soul
1340,sheryl crow
1341,crash test dummies
1342,da brat
1343,drs
1344,10000 maniacs
1345,us3
1346,melissa etheridge
1347,changing faces
1348,crystal waters
1349,the cranberries
1350,beck
1351,snoop doggy dogg
1352,immature
1353,domino
1354,luther vandross and mariah carey
1355,aaron hall
1356,warren g
1357,real mccoy
1358,69 boyz
1359,jimmy cliff
1360,erasure
1361,gabrielle
1362,culture beat
1363,joshua kadison
1364,eternal
1365,craig mack
1366,queen latifah
1367,ini kamoze
1368,tim mcgraw
1369,candlebox
1370,ahmad
1371,general public
1372,ice cube featuring george clinton
1373,brandy
1374,coolio featuring lv
1375,monica
1376,montell jordan
1377,dionne farris
1378,adina howard
1379,blues traveler
1380,shaggy
1381,nicki french
1382,desree
1383,hootie  the blowfish
1384,the notorious big
1385,soul for real
1386,blessid union of souls
1387,jon b
1388,brownstone
1389,martin page
1390,luniz
1391,mokenstef
1392,method man featuring mary j blige
1393,diana king
1394,blackstreet
1395,4:00 PM
1396,jamie walters
1397,corona
1398,del amitri
1399,michael jackson and janet jackson
1400,skeelo
1401,natalie merchant
1402,take that
1403,groove theory
1404,total featuring the notorious big
1405,subway featuring 702
1406,junior mafia featuring the notorious big
1407,20 fingers featuring gillette
1408,brandy featuring wanya morris
1409,annie lennox
1410,faith evans
1411,raphael saadiq
1412,az
1413,better than ezra
1414,dangelo
1415,bone thugsnharmony
1416,rednex
1417,n ii u
1418,los del r'io
1419,mariah carey and boyz ii men
1420,the tony rich project
1421,donna lewis
1422,quad city djs
1423,everything but the girl
1424,alanis morissette
1425,2pac featuring kci  jojo  featuring dr dre
1426,jann arden
1427,la bouche
1428,goo goo dolls
1429,jewel
1430,no mercy
1431,dishwalla
1432,joan osborne
1433,112 featuring the notorious big and mase
1434,r kelly featuring the isley brothers
1435,deep blue something
1436,blackstreet featuring dr dre
1437,3t
1438,the smashing pumpkins
1439,total
1440,whitney houston featuring cece winans
1441,az yet
1442,merril bainbridge
1443,joe
1444,oasis
1445,busta rhymes
1446,outkast
1447,case featuring foxy brown
1448,robert miles
1449,adam clayton and larry mullen
1450,bodeans
1451,no doubt
1452,john mellencamp
1453,ginuwine
1454,keith sweat featuring athena cage
1455,mc lyte featuring xscape
1456,deborah cox
1457,amber
1458,planet soul
1459,ghost town djs
1460,maxi priest featuring shaggy
1461,do or die featuring twista
1462,metallica
1463,crucial conflict
1464,pearl jam
1465,puff daddy featuring faith evans and 112
1466,puff daddy featuring mase
1467,mark morrison
1468,leann rimes
1469,spice girls
1470,backstreet boys
1471,hanson
1472,usher
1473,meredith brooks
1474,third eye blind
1475,duncan sheik
1476,az yet featuring peter cetera
1477,the notorious big featuring puff daddy and mase
1478,the verve pipe
1479,savage garden
1480,rome
1481,dru hill
1482,robyn
1483,freak nasty
1484,sister hazel
1485,112
1486,paula cole
1487,shawn colvin
1488,tim mcgraw and faith hill
1489,gina g
1490,allure featuring 112
1491,98 degrees
1492,lil kim featuring da brat left eye missy elliott and angie martinez
1493,702
1494,somethin for the people featuring trina  tamara
1495,barbra streisand and bryan adams
1496,foxy brown featuring jayz
1497,timbaland  magoo featuring missy elliott and aaliyah
1498,mc lyte
1499,sarah mclachlan
1500,white town
1501,coolio featuring 40 thevz
1502,brock and the bizz
1503,chumbawamba
1504,various artists
1505,heavy d
1506,scarface featuring 2pac and johnny p
1507,lil kim featuring puff daddy
1508,luscious jackson
1509,erykah badu
1510,brian mcknight featuring mase
1511,swv and puff daddy
1512,next
1513,mr president
1514,aqua
1515,dj kool
1516,the blackout allstars
1517,ray j
1518,brandy and monica
1519,shania twain
1520,janet
1521,kci  jojo
1522,destinys child
1523,will smith
1524,puff daddy featuring the notorious big and mase
1525,jennifer paige
1526,public announcement
1527,faith hill
1528,uncle sam
1529,montell jordan featuring master p and silkk the shocker
1530,marcy playground
1531,mase featuring total
1532,wyclef jean
1533,lsg
1534,lord tariq and peter gunz
1535,n sync
1536,five
1537,master p featuring fiend silkk the shocker mia x and mystikal
1538,nicole featuring missy elliott and mocha
1539,all saints
1540,janet jackson featuring blackstreet
1541,mase featuring kelly price
1542,voices of theory
1543,billie myers
1544,puff daddy featuring jimmy page
1545,sylke fyne featuring chill
